feature_id	component_id	mz
270	4	299.1277160644531
271	2	616.3998413085938
272	35	539.2767944335938
273	1	729.3427734375
274	1	780.3749389648438
275	2	572.3735961914062
276	-1	473.2686767578125
277	-1	614.3837890625
278	3	702.5362548828125
279	3	658.51025390625
28	1	314.1387634277344
280	3	658.5101318359375
281	-1	143.958984375
282	1	729.3416137695312
283	3	614.4840698242188
284	3	614.4838256835938
285	3	570.4576416015625
286	3	526.4313354492188
287	35	539.2767944335938
288	3	482.4053955078125
289	2	552.40478515625
29	33	135.0839080810547
290	7	453.3000793457031
291	-1	417.2433166503906
292	1	699.3317260742188
293	2	580.399658203125
294	21	435.2893371582031
295	2	618.4149780273438
296	5	541.2924194335938
297	4	747.3528442382812
298	4	764.3792724609375
299	7	437.3050537109375
3	31	137.50303649902344
30	22	342.16986083984375
300	1	465.2999572753906
301	3	628.4998168945312
302	1	647.3364868164062
303	7	419.2947387695313
304	3	584.4755859375
305	3	496.4210205078125
306	3	540.4473266601562
307	3	584.4735107421875
308	1	654.3323974609375
309	1	637.3054809570312
31	1	344.1492614746094
310	39	313.2737731933594
311	2	574.388671875
312	2	673.4938354492188
313	3	452.39459228515625
314	2	792.2849731445312
315	1	710.206787109375
316	1	711.210693359375
317	1	693.179443359375
318	1	710.2069702148438
319	1	475.2843017578125
32	-1	309.16729736328125
320	9	271.09637451171875
321	1	463.2843322753906
322	1	693.1801147460938
323	2	562.3890380859375
324	1	499.2843627929687
325	24	560.3740234375
326	4	649.3519897460938
327	1	395.367431640625
328	4	731.3578491210938
329	7	435.289306640625
33	-1	173.08079528808594
330	27	591.4257202148438
331	-1	412.2847900390625
332	7	419.2945861816406
333	1	447.2883605957031
334	7	437.304931640625
335	4	491.3153381347656
336	15	581.4776000976562
337	1	501.2995910644531
338	-1	657.2824096679688
339	1	519.3099975585938
34	-1	172.1332244873047
340	1	465.29986572265625
341	2	618.4154663085938
342	-1	541.29248046875
343	-1	487.28216552734375
344	1	463.2843322753906
345	1	517.2948608398438
346	5	485.2666320800781
347	39	341.30487060546875
348	1	359.3155822753906
349	1	475.2842102050781
35	-1	217.1070251464844
350	37	903.5634765625
351	11	919.5596313476562
352	1	830.6885986328125
353	37	903.5643920898438
354	4	503.3155212402344
355	2	704.6162109375
356	1	682.6337890625
357	1	816.6572265625
358	15	609.509521484375
359	19	415.3567810058594
36	1	268.1332092285156
360	-1	540.461669921875
361	1	501.30029296875
362	2	722.5935668945312
363	-1	427.3568115234375
364	15	684.541015625
365	2	114.12767028808594
366	2	101.11521911621094
367	1	710.6661987304688
368	-1	112.11200714111328
369	2	142.15892028808594
37	-1	194.11570739746097
370	2	128.14334106445312
371	41	158.15383911132812
372	-1	126.1276626586914
373	-1	429.3725280761719
374	30	887.5685424804688
375	2	126.12769317626952
376	2	112.11202239990234
377	11	903.5634765625
378	30	887.5692138671875
